Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Promotion Used,Days Between Purchases,Frequency Engagement,Subscription Flag,Previous Purchases Norm,Frequency Engagement Norm,Review Rating Norm,Loyalty Score,Customer Loyalty Type,Purchase Amount Norm,Customer Value Score,Customer Value Tier,Ideal Customer,Age Group,Promo Flag
15,64,Male,Coat,Outerwear,53,New York,L,Teal,Winter,4.7,Yes,Free Shipping,Yes,34,Debit Card,Weekly,1,7,0.14285714285714285,1,0.673469387755102,1.0,0.8800000000000001,0.818734693877551,Champion,0.4125000000000001,0.53,Medium Value,Other Customer,56-65,1
16,64,Male,Skirt,Clothing,81,Rhode Island,M,Teal,Winter,2.8,Yes,Store Pickup,Yes,8,PayPal,Monthly,1,30,0.03333333333333333,1,0.14285714285714285,0.21834264432029793,0.11999999999999988,0.2440142325086459,At Risk,0.7625,0.81,High Value,Other Customer,56-65,1
17,25,Male,Sunglasses,Accessories,36,Alabama,S,Gray,Spring,4.1,Yes,Next Day Air,Yes,44,Debit Card,Fortnightly,1,14,0.07142857142857142,1,0.8775510204081631,0.4902234636871508,0.6399999999999999,0.7573313761258692,Champion,0.2,0.36000000000000004,Low Value,Other Customer,18-25,1
18,53,Male,Dress,Clothing,38,Mississippi,XL,Lavender,Winter,4.7,Yes,2-Day Shipping,Yes,36,Venmo,Quarterly,1,90,0.011111111111111112,1,0.7142857142857142,0.05974549968963377,0.8800000000000001,0.6040792320652656,Champion,0.22500000000000003,0.38000000000000006,Medium Value,Other Customer,46-55,1
19,52,Male,Sweater,Clothing,48,Montana,S,Black,Summer,4.6,Yes,Free Shipping,Yes,17,Cash,Weekly,1,7,0.14285714285714285,1,0.32653061224489793,1.0,0.8399999999999999,0.6392653061224489,Champion,0.3500000000000001,0.4800000000000001,Medium Value,Other Customer,46-55,1
20,66,Male,Pants,Clothing,90,Rhode Island,M,Green,Summer,3.3,Yes,Standard,Yes,46,Debit Card,Fortnightly,1,14,0.07142857142857142,1,0.9183673469387754,0.4902234636871508,0.32000000000000006,0.7297395393911754,Champion,0.875,0.9000000000000001,High Value,Ideal Customer,65+,1
21,21,Male,Pants,Clothing,51,Louisiana,M,Black,Winter,2.8,Yes,Express,Yes,50,Cash,Quarterly,1,90,0.011111111111111112,1,1.0,0.05974549968963377,0.11999999999999988,0.6329363749224084,Champion,0.38750000000000007,0.51,Medium Value,Other Customer,18-25,1
22,31,Male,Pants,Clothing,62,North Carolina,M,Charcoal,Winter,4.1,Yes,Store Pickup,Yes,22,Debit Card,Quarterly,1,90,0.011111111111111112,1,0.4285714285714285,0.05974549968963377,0.6399999999999999,0.42522208920812266,Regular,0.525,0.6200000000000001,Medium Value,Other Customer,26-35,1
23,56,Male,Pants,Clothing,37,California,M,Peach,Summer,3.2,Yes,Store Pickup,Yes,32,Debit Card,Annually,1,365,0.0027397260273972603,1,0.6326530612244897,0.0,0.28000000000000025,0.45832653061224493,Regular,0.21250000000000002,0.37000000000000005,Medium Value,Other Customer,56-65,1
24,31,Male,Pants,Clothing,88,Oklahoma,XL,White,Winter,4.4,Yes,Express,Yes,40,Credit Card,Weekly,1,7,0.14285714285714285,1,0.7959183673469387,1.0,0.7600000000000002,0.8619591836734692,Champion,0.8500000000000001,0.8800000000000001,High Value,Ideal Customer,26-35,1
25,18,Male,Jacket,Outerwear,22,Florida,M,Green,Fall,2.9,Yes,Store Pickup,Yes,16,Debit Card,Weekly,1,7,0.14285714285714285,1,0.3061224489795918,1.0,0.15999999999999992,0.5270612244897959,Loyal,0.025000000000000022,0.22000000000000003,Low Value,Other Customer,,1
26,18,Male,Hoodie,Clothing,25,Texas,M,Silver,Summer,3.6,Yes,Express,Yes,14,PayPal,Annually,1,365,0.0027397260273972603,1,0.26530612244897955,0.0,0.44000000000000017,0.29865306122448976,Regular,0.0625,0.25,Low Value,Other Customer,,1
27,38,Male,Jewelry,Accessories,20,Nevada,M,Red,Spring,3.6,Yes,Next Day Air,Yes,13,Credit Card,Annually,1,365,0.0027397260273972603,1,0.24489795918367344,0.0,0.44000000000000017,0.28844897959183674,Regular,0.0,0.2,Low Value,Other Customer,36-45,1
28,56,Male,Shorts,Clothing,56,Kentucky,L,Cyan,Summer,5.0,Yes,Next Day Air,Yes,7,Bank Transfer,Quarterly,1,90,0.011111111111111112,1,0.12244897959183673,0.05974549968963377,1.0,0.32616086471832684,Regular,0.45000000000000007,0.56,Medium Value,Other Customer,56-65,1
29,54,Male,Handbag,Accessories,94,North Carolina,M,Gray,Fall,4.4,Yes,Free Shipping,Yes,41,PayPal,Quarterly,1,90,0.011111111111111112,1,0.8163265306122448,0.05974549968963377,0.7600000000000002,0.6370996402285308,Champion,0.925,0.9400000000000002,High Value,Ideal Customer,46-55,1
30,31,Male,Dress,Clothing,48,Wyoming,S,Black,Fall,4.1,Yes,Store Pickup,Yes,14,Credit Card,Weekly,1,7,0.14285714285714285,1,0.26530612244897955,1.0,0.6399999999999999,0.5786530612244898,Loyal,0.3500000000000001,0.4800000000000001,Medium Value,Other Customer,26-35,1
31,57,Male,Jewelry,Accessories,31,North Carolina,L,Black,Winter,4.7,Yes,Standard,Yes,16,Credit Card,Monthly,1,30,0.03333333333333333,1,0.3061224489795918,0.21834264432029793,0.8800000000000001,0.4396468855698704,Regular,0.1375,0.31000000000000005,Low Value,Other Customer,56-65,1
32,33,Male,Dress,Clothing,79,West Virginia,L,Brown,Winter,4.7,Yes,Store Pickup,Yes,45,Venmo,Monthly,1,30,0.03333333333333333,1,0.8979591836734693,0.21834264432029793,0.8800000000000001,0.7355652529168091,Champion,0.7375,0.79,High Value,Ideal Customer,26-35,1
33,36,Male,Jacket,Outerwear,67,Kansas,M,Silver,Summer,4.9,Yes,Free Shipping,Yes,37,Venmo,Annually,1,365,0.0027397260273972603,1,0.7346938775510203,0.0,0.9600000000000002,0.6113469387755102,Champion,0.5875,0.67,Medium Value,Other Customer,36-45,1
34,54,Male,Pants,Clothing,38,Colorado,L,Green,Summer,3.3,Yes,Store Pickup,Yes,45,Cash,Quarterly,1,90,0.011111111111111112,1,0.8979591836734693,0.05974549968963377,0.32000000000000006,0.6119159667591431,Champion,0.22500000000000003,0.38000000000000006,Medium Value,Other Customer,46-55,1
35,36,Male,T-shirt,Clothing,91,North Dakota,L,Violet,Spring,4.6,Yes,2-Day Shipping,Yes,38,PayPal,Quarterly,1,90,0.011111111111111112,1,0.7551020408163265,0.05974549968963377,0.8399999999999999,0.6184873953305716,Champion,0.8875,0.9099999999999999,High Value,Ideal Customer,36-45,1
36,54,Male,Blouse,Clothing,33,Massachusetts,M,Cyan,Summer,4.0,Yes,2-Day Shipping,Yes,48,Credit Card,Fortnightly,1,14,0.07142857142857142,1,0.9591836734693877,0.4902234636871508,0.6000000000000001,0.7921477026564815,Champion,0.16250000000000003,0.33000000000000007,Low Value,Other Customer,46-55,1
37,35,Male,T-shirt,Clothing,69,Illinois,M,Maroon,Winter,4.6,Yes,Free Shipping,Yes,44,PayPal,Fortnightly,1,14,0.07142857142857142,1,0.8775510204081631,0.4902234636871508,0.8399999999999999,0.7873313761258692,Champion,0.6125,0.6900000000000001,Medium Value,Other Customer,26-35,1
38,35,Male,Jeans,Clothing,45,Indiana,S,Cyan,Summer,2.8,Yes,Store Pickup,Yes,10,PayPal,Weekly,1,7,0.14285714285714285,1,0.18367346938775508,1.0,0.11999999999999988,0.45983673469387754,Regular,0.3125,0.45,Medium Value,Other Customer,26-35,1
40,70,Male,Pants,Clothing,60,Arizona,S,Turquoise,Summer,4.2,Yes,Express,Yes,18,Credit Card,Monthly,1,30,0.03333333333333333,1,0.346938775510204,0.21834264432029793,0.6800000000000002,0.43005504883517653,Regular,0.5,0.6000000000000001,Medium Value,Other Customer,65+,1
41,69,Male,Handbag,Accessories,76,Louisiana,L,Beige,Winter,4.6,Yes,Next Day Air,Yes,31,Debit Card,Quarterly,1,90,0.011111111111111112,1,0.6122448979591836,0.05974549968963377,0.8399999999999999,0.5470588239020002,Loyal,0.7000000000000001,0.76,High Value,Other Customer,65+,1
42,67,Male,Scarf,Accessories,39,Alaska,M,Orange,Spring,4.5,Yes,Standard,Yes,40,Venmo,Annually,1,365,0.0027397260273972603,1,0.7959183673469387,0.0,0.8,0.6179591836734694,Champion,0.23750000000000004,0.39000000000000007,Medium Value,Other Customer,65+,1
43,20,Male,Coat,Outerwear,100,Tennessee,M,Beige,Spring,4.1,Yes,Free Shipping,Yes,15,PayPal,Annually,1,365,0.0027397260273972603,1,0.28571428571428564,0.0,0.6399999999999999,0.33885714285714286,Regular,1.0,1.0,High Value,Other Customer,18-25,1
44,25,Male,Scarf,Accessories,69,Ohio,L,Lavender,Fall,3.7,Yes,Store Pickup,Yes,19,PayPal,Fortnightly,1,14,0.07142857142857142,1,0.36734693877551017,0.4902234636871508,0.4800000000000002,0.4782293353095428,Regular,0.6125,0.6900000000000001,Medium Value,Other Customer,18-25,1
45,39,Male,Hat,Accessories,53,Kentucky,S,Silver,Summer,4.6,Yes,Free Shipping,Yes,45,PayPal,Weekly,1,7,0.14285714285714285,1,0.8979591836734693,1.0,0.8399999999999999,0.9249795918367346,Champion,0.4125000000000001,0.53,Medium Value,Other Customer,36-45,1
46,50,Male,Socks,Clothing,21,Tennessee,XL,Indigo,Fall,2.9,Yes,2-Day Shipping,Yes,25,PayPal,Annually,1,365,0.0027397260273972603,1,0.4897959183673469,0.0,0.15999999999999992,0.3688979591836734,Regular,0.012500000000000011,0.21000000000000002,Low Value,Other Customer,46-55,1
47,57,Male,Shirt,Clothing,43,California,L,White,Summer,2.9,Yes,Store Pickup,Yes,45,Cash,Quarterly,1,90,0.011111111111111112,1,0.8979591836734693,0.05974549968963377,0.15999999999999992,0.587915966759143,Loyal,0.2875,0.43,Medium Value,Other Customer,56-65,1
48,55,Male,Jewelry,Accessories,54,Montana,M,Charcoal,Winter,4.5,Yes,Free Shipping,Yes,36,Cash,Weekly,1,7,0.14285714285714285,1,0.7142857142857142,1.0,0.8,0.8271428571428571,Champion,0.42500000000000004,0.54,Medium Value,Other Customer,46-55,1
49,42,Male,Shirt,Clothing,55,Nevada,M,Orange,Summer,2.7,Yes,Store Pickup,Yes,38,Cash,Monthly,1,30,0.03333333333333333,1,0.7551020408163265,0.21834264432029793,0.08000000000000007,0.5441366814882377,Loyal,0.4375,0.55,Medium Value,Other Customer,36-45,1
50,68,Male,Hoodie,Clothing,30,New Jersey,S,Indigo,Spring,4.6,Yes,Next Day Air,Yes,34,Debit Card,Fortnightly,1,14,0.07142857142857142,1,0.673469387755102,0.4902234636871508,0.8399999999999999,0.6852905597993386,Champion,0.125,0.30000000000000004,Low Value,Other Customer,65+,1
52,59,Male,Skirt,Clothing,59,Vermont,XL,Gray,Winter,4.7,Yes,2-Day Shipping,Yes,7,Credit Card,Quarterly,1,90,0.011111111111111112,1,0.12244897959183673,0.05974549968963377,0.8800000000000001,0.3081608647183268,Regular,0.48750000000000004,0.5900000000000001,Medium Value,Other Customer,56-65,1
53,42,Male,T-shirt,Clothing,20,Alaska,M,Green,Summer,2.6,Yes,Free Shipping,Yes,26,Credit Card,Weekly,1,7,0.14285714285714285,1,0.510204081632653,1.0,0.040000000000000036,0.6111020408163265,Champion,0.0,0.2,Low Value,Other Customer,36-45,1
54,29,Male,Skirt,Clothing,24,Mississippi,S,Peach,Winter,3.9,Yes,Next Day Air,Yes,35,Credit Card,Weekly,1,7,0.14285714285714285,1,0.693877551020408,1.0,0.56,0.780938775510204,Champion,0.050000000000000044,0.24000000000000005,Low Value,Other Customer,26-35,1
55,47,Male,Coat,Outerwear,94,New Mexico,M,Brown,Summer,4.2,Yes,Next Day Air,Yes,35,Debit Card,Fortnightly,1,14,0.07142857142857142,1,0.693877551020408,0.4902234636871508,0.6800000000000002,0.6714946414319917,Champion,0.925,0.9400000000000002,High Value,Ideal Customer,46-55,1
56,40,Male,Jacket,Outerwear,28,South Carolina,M,Lavender,Winter,3.0,Yes,2-Day Shipping,Yes,49,Credit Card,Annually,1,365,0.0027397260273972603,1,0.9795918367346937,0.0,0.20000000000000018,0.6197959183673468,Champion,0.10000000000000003,0.28,Low Value,Other Customer,36-45,1
57,41,Male,Backpack,Accessories,73,Mississippi,XL,Brown,Summer,4.7,Yes,Store Pickup,Yes,46,Credit Card,Weekly,1,7,0.14285714285714285,1,0.9183673469387754,1.0,0.8800000000000001,0.9411836734693877,Champion,0.6625000000000001,0.7300000000000002,High Value,Ideal Customer,36-45,1
58,21,Male,Coat,Outerwear,64,West Virginia,M,White,Summer,4.4,Yes,Store Pickup,Yes,17,Debit Card,Fortnightly,1,14,0.07142857142857142,1,0.32653061224489793,0.4902234636871508,0.7600000000000002,0.4998211720442367,Loyal,0.55,0.6400000000000001,Medium Value,Other Customer,18-25,1
59,69,Male,Hoodie,Clothing,54,Missouri,M,Charcoal,Summer,4.2,Yes,Free Shipping,Yes,29,Venmo,Monthly,1,30,0.03333333333333333,1,0.5714285714285714,0.21834264432029793,0.6800000000000002,0.5422999467943602,Loyal,0.42500000000000004,0.54,Medium Value,Other Customer,65+,1
60,63,Male,Belt,Accessories,79,Louisiana,L,Yellow,Spring,4.6,Yes,Standard,Yes,4,Debit Card,Weekly,1,7,0.14285714285714285,1,0.061224489795918366,1.0,0.8399999999999999,0.5066122448979591,Loyal,0.7375,0.79,High Value,Other Customer,56-65,1
61,50,Male,Sweater,Clothing,37,Idaho,L,Brown,Summer,4.0,Yes,Express,Yes,17,Cash,Weekly,1,7,0.14285714285714285,1,0.32653061224489793,1.0,0.6000000000000001,0.6032653061224489,Champion,0.21250000000000002,0.37000000000000005,Medium Value,Other Customer,46-55,1
62,55,Male,Scarf,Accessories,68,Texas,M,Orange,Winter,4.7,Yes,Store Pickup,Yes,21,Credit Card,Quarterly,1,90,0.011111111111111112,1,0.4081632653061224,0.05974549968963377,0.8800000000000001,0.4510180075754696,Regular,0.6000000000000001,0.6800000000000002,Medium Value,Other Customer,46-55,1
63,30,Male,Sneakers,Footwear,21,Mississippi,S,Magenta,Spring,3.8,Yes,Free Shipping,Yes,31,Credit Card,Fortnightly,1,14,0.07142857142857142,1,0.6122448979591836,0.4902234636871508,0.52,0.6066783149013795,Champion,0.012500000000000011,0.21000000000000002,Low Value,Other Customer,26-35,1
64,33,Male,Sunglasses,Accessories,79,Arizona,L,Lavender,Winter,2.7,Yes,2-Day Shipping,Yes,43,Credit Card,Weekly,1,7,0.14285714285714285,1,0.8571428571428571,1.0,0.08000000000000007,0.7905714285714286,Champion,0.7375,0.79,High Value,Ideal Customer,26-35,1
65,65,Male,Boots,Footwear,83,Alabama,S,Green,Fall,4.8,Yes,Standard,Yes,18,Debit Card,Fortnightly,1,14,0.07142857142857142,1,0.346938775510204,0.4902234636871508,0.9199999999999999,0.5340252536768897,Loyal,0.7875000000000001,0.8300000000000001,High Value,Other Customer,56-65,1
66,65,Male,Backpack,Accessories,36,New Jersey,M,Purple,Spring,4.8,Yes,2-Day Shipping,Yes,44,Venmo,Quarterly,1,90,0.011111111111111112,1,0.8775510204081631,0.05974549968963377,0.9199999999999999,0.69171188512649,Champion,0.2,0.36000000000000004,Low Value,Other Customer,56-65,1
67,31,Male,Blouse,Clothing,94,Pennsylvania,S,Magenta,Winter,4.7,Yes,2-Day Shipping,Yes,3,Venmo,Quarterly,1,90,0.011111111111111112,1,0.04081632653061225,0.05974549968963377,0.8800000000000001,0.2673445381877146,Regular,0.925,0.9400000000000002,High Value,Other Customer,26-35,1
68,45,Male,Coat,Outerwear,33,Connecticut,L,Gray,Winter,4.4,Yes,Store Pickup,Yes,49,Debit Card,Monthly,1,30,0.03333333333333333,1,0.9795918367346937,0.21834264432029793,0.7600000000000002,0.7583815794474214,Champion,0.16250000000000003,0.33000000000000007,Low Value,Other Customer,36-45,1
69,57,Male,Handbag,Accessories,46,Utah,L,Silver,Summer,3.9,Yes,Next Day Air,Yes,21,Cash,Quarterly,1,90,0.011111111111111112,1,0.4081632653061224,0.05974549968963377,0.56,0.4030180075754697,Regular,0.32500000000000007,0.4600000000000001,Medium Value,Other Customer,56-65,1
70,48,Male,Belt,Accessories,70,Tennessee,S,Cyan,Summer,4.4,Yes,Express,Yes,5,Cash,Weekly,1,7,0.14285714285714285,1,0.08163265306122448,1.0,0.7600000000000002,0.5048163265306123,Loyal,0.625,0.7,Medium Value,Other Customer,46-55,1
71,22,Male,Belt,Accessories,29,Alabama,M,Magenta,Fall,4.2,Yes,Express,Yes,32,Debit Card,Quarterly,1,90,0.011111111111111112,1,0.6326530612244897,0.05974549968963377,0.6800000000000002,0.5332629055346534,Loyal,0.11250000000000004,0.29000000000000004,Low Value,Other Customer,18-25,1
72,36,Male,Dress,Clothing,48,Virginia,L,Gold,Summer,2.9,Yes,Express,Yes,34,Bank Transfer,Annually,1,365,0.0027397260273972603,1,0.673469387755102,0.0,0.15999999999999992,0.46073469387755095,Regular,0.3500000000000001,0.4800000000000001,Medium Value,Other Customer,36-45,1
73,18,Male,Dress,Clothing,26,Georgia,M,Olive,Winter,2.9,Yes,Store Pickup,Yes,21,Bank Transfer,Quarterly,1,90,0.011111111111111112,1,0.4081632653061224,0.05974549968963377,0.15999999999999992,0.34301800757546963,Regular,0.07500000000000001,0.26,Low Value,Other Customer,,1
74,48,Male,Pants,Clothing,85,Hawaii,M,Teal,Spring,2.7,Yes,Free Shipping,Yes,43,Bank Transfer,Fortnightly,1,14,0.07142857142857142,1,0.8571428571428571,0.4902234636871508,0.08000000000000007,0.6631272944932163,Champion,0.8125,0.8500000000000001,High Value,Ideal Customer,46-55,1
75,49,Male,Gloves,Accessories,58,Indiana,L,Violet,Spring,4.5,Yes,Express,Yes,3,Cash,Monthly,1,30,0.03333333333333333,1,0.04081632653061225,0.21834264432029793,0.8,0.2949938243453806,Regular,0.4750000000000001,0.5800000000000001,Medium Value,Other Customer,46-55,1
76,64,Male,Scarf,Accessories,85,Utah,M,Blue,Summer,2.7,Yes,Free Shipping,Yes,21,Credit Card,Annually,1,365,0.0027397260273972603,1,0.4081632653061224,0.0,0.08000000000000007,0.3160816326530612,Regular,0.8125,0.8500000000000001,High Value,Other Customer,56-65,1
77,50,Male,Hat,Accessories,43,Delaware,S,Teal,Summer,4.2,Yes,Free Shipping,Yes,32,Venmo,Monthly,1,30,0.03333333333333333,1,0.6326530612244897,0.21834264432029793,0.6800000000000002,0.5729121916923194,Loyal,0.2875,0.43,Medium Value,Other Customer,46-55,1
78,22,Male,Dress,Clothing,53,Delaware,L,Gold,Summer,3.3,Yes,Next Day Air,Yes,36,Debit Card,Fortnightly,1,14,0.07142857142857142,1,0.7142857142857142,0.4902234636871508,0.32000000000000006,0.6276987230646448,Champion,0.4125000000000001,0.53,Medium Value,Other Customer,18-25,1
79,50,Male,Skirt,Clothing,91,Nebraska,M,Maroon,Spring,4.7,Yes,Free Shipping,Yes,50,Venmo,Fortnightly,1,14,0.07142857142857142,1,1.0,0.4902234636871508,0.8800000000000001,0.8545558659217877,Champion,0.8875,0.9099999999999999,High Value,Ideal Customer,46-55,1
80,38,Male,Jacket,Outerwear,96,Iowa,M,Olive,Winter,2.6,Yes,2-Day Shipping,Yes,43,Bank Transfer,Quarterly,1,90,0.011111111111111112,1,0.8571428571428571,0.05974549968963377,0.040000000000000036,0.549507803493837,Loyal,0.9500000000000002,0.9600000000000002,High Value,Other Customer,36-45,1
82,67,Male,Shoes,Footwear,96,Virginia,L,Maroon,Summer,2.6,Yes,Express,Yes,36,Credit Card,Quarterly,1,90,0.011111111111111112,1,0.7142857142857142,0.05974549968963377,0.040000000000000036,0.4780792320652656,Regular,0.9500000000000002,0.9600000000000002,High Value,Other Customer,65+,1
83,19,Male,Pants,Clothing,28,Georgia,S,Olive,Spring,4.0,Yes,2-Day Shipping,Yes,21,Credit Card,Quarterly,1,90,0.011111111111111112,1,0.4081632653061224,0.05974549968963377,0.6000000000000001,0.4090180075754697,Regular,0.10000000000000003,0.28,Low Value,Other Customer,18-25,1
84,36,Male,Dress,Clothing,40,Texas,M,Turquoise,Summer,4.1,Yes,Standard,Yes,34,Bank Transfer,Weekly,1,7,0.14285714285714285,1,0.673469387755102,1.0,0.6399999999999999,0.782734693877551,Champion,0.25,0.4,Medium Value,Other Customer,36-45,1
85,52,Male,Coat,Outerwear,32,Arizona,S,Peach,Spring,4.4,Yes,Standard,Yes,42,Bank Transfer,Quarterly,1,90,0.011111111111111112,1,0.836734693877551,0.05974549968963377,0.7600000000000002,0.6473037218611839,Champion,0.15000000000000002,0.32000000000000006,Low Value,Other Customer,46-55,1
86,53,Male,Sunglasses,Accessories,95,New Mexico,M,Charcoal,Winter,4.5,Yes,Next Day Air,Yes,2,Debit Card,Fortnightly,1,14,0.07142857142857142,1,0.02040816326530612,0.4902234636871508,0.8,0.35275994755444073,Regular,0.9375,0.95,High Value,Other Customer,46-55,1
87,24,Male,Hoodie,Clothing,41,Nevada,L,Pink,Spring,3.7,Yes,2-Day Shipping,Yes,47,Cash,Fortnightly,1,14,0.07142857142857142,1,0.9387755102040816,0.4902234636871508,0.4800000000000002,0.7639436210238285,Champion,0.26250000000000007,0.4100000000000001,Medium Value,Other Customer,18-25,1
88,52,Male,Shoes,Footwear,53,Ohio,M,Green,Fall,3.7,Yes,2-Day Shipping,Yes,44,Debit Card,Fortnightly,1,14,0.07142857142857142,1,0.8775510204081631,0.4902234636871508,0.4800000000000002,0.7333313761258693,Champion,0.4125000000000001,0.53,Medium Value,Other Customer,46-55,1
89,33,Male,T-shirt,Clothing,47,Wyoming,M,Orange,Fall,3.5,Yes,Free Shipping,Yes,35,Credit Card,Monthly,1,30,0.03333333333333333,1,0.693877551020408,0.21834264432029793,0.40000000000000013,0.5615244365902785,Loyal,0.3375,0.47000000000000003,Medium Value,Other Customer,26-35,1
90,47,Male,Jacket,Outerwear,83,California,XL,Pink,Fall,3.6,Yes,Next Day Air,Yes,15,Cash,Quarterly,1,90,0.011111111111111112,1,0.28571428571428564,0.05974549968963377,0.44000000000000017,0.32379351777955123,Regular,0.7875000000000001,0.8300000000000001,High Value,Other Customer,46-55,1
91,25,Male,Hat,Accessories,48,South Carolina,L,Violet,Summer,2.9,Yes,Express,Yes,29,Credit Card,Monthly,1,30,0.03333333333333333,1,0.5714285714285714,0.21834264432029793,0.15999999999999992,0.46429994679436015,Regular,0.3500000000000001,0.4800000000000001,Medium Value,Other Customer,18-25,1
92,44,Male,Scarf,Accessories,99,South Carolina,S,Green,Winter,4.6,Yes,Standard,Yes,18,Credit Card,Quarterly,1,90,0.011111111111111112,1,0.346938775510204,0.05974549968963377,0.8399999999999999,0.4144057626775104,Regular,0.9875,0.99,High Value,Other Customer,36-45,1
93,61,Male,Jacket,Outerwear,87,Texas,M,Olive,Winter,4.4,Yes,2-Day Shipping,Yes,13,Venmo,Quarterly,1,90,0.011111111111111112,1,0.24489795918367344,0.05974549968963377,0.7600000000000002,0.35138535451424524,Regular,0.8375000000000001,0.8700000000000001,High Value,Other Customer,56-65,1
